Riverside,Moranbah North,Illawara (PHCC),Goonyella,Caval Ridge,PDN,Poitrel,Amonate,Aus. SHCC,Teck Venture,Lake Vermont,Metropolitan,Indonasian,Low Ash SHCC/ SHCC-BHP,Eagle crrek,Dhamra SHCC PDN,Daunia (SHCC),Leer,Elga,Leer/Russian HFCC,Uvalnaya,Blue creek,Mt. Laurel,R.PCI,E.Soft,Indian Coal Dhanbaad,Scratch Coal,HCC/ SHCC Contaminated Coal,North Goonyella,Anglo American LV SHCC,Carborough down (SHCC),Moorvale (SHCC),Russian Low Vol(SHCC),MVF,Soft coal,Olive Down
0,0,0,40,0,0,32,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,16,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,34,0,0,38,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,16,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,34,0,0,38,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,16,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,40,0,0,32,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,16,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,40,0,0,32,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,16,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,40,0,0,29,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,6,16,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,45,0,0,29,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,45,0,0,29,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,45,0,0,29,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,45,0,0,29,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,45,0,0,29,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,39,0,13,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,10,8,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,39,0,13,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,10,8,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,36,0,13,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,10,11,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,36,0,13,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,10,11,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,36,0,13,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,10,11,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,34,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,5,0,0,0,0,0,0,0,0,0
0,0,0,0,37,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,0,0,5,0,0,0,0,0,0,0,0,0
0,0,0,0,37,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,0,0,5,0,0,0,0,0,0,0,0,0
