Riverside,Moranbah North,Illawara (PHCC),North Goonyella,Goonyella,Caval Ridge,PDN,Poitrel ,Amonate,Aus. SHCC,Teck Venture,Lake Vermont,Anglo American LV SHCC,Metropolitan,Collinsvill,Olive Down,Carborough down (SHCC),Moorvale (SHCC),Russian Low Vol(SHCC),Indonasian,Low Ash SHCC/ SHCC-BHP,Eagle crrek,Dhamra SHCC PDN,Daunia (SHCC),Leer,Shoal Creek,Elga,Leer/Russian HFCC,Uvalnaya,MVF,Blue creek,Mt. Laurel,R.PCI,Soft coal,E.Soft,Indian Coal Dhanbaad,Scratch Coal, HCC/ SHCC Contaminated Coal
0,0,0,26,10,0,0,0,0,0,0,0,0,0,0,0,0,7,18,0,0,0,0,0,0,0,0,0,0,0,18,0,15,0,0,6,0,0
0,0,0,26,10,0,0,0,0,0,0,0,0,0,0,0,0,7,18,0,0,0,0,0,0,0,0,0,0,0,18,0,15,0,0,6,0,0
0,0,0,26,10,0,0,0,0,0,0,0,0,0,0,0,0,7,18,0,0,0,0,0,0,0,0,0,0,0,18,0,15,0,0,6,0,0
0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,8,19,0,0,0,0,0,0,0,0,0,0,0,17,0,16,0,0,6,0,0
0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,8,19,0,0,0,0,0,0,0,0,0,0,0,17,0,16,0,0,6,0,0
0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,8,19,0,0,0,0,0,0,0,0,0,0,0,17,0,16,6,0,0,0,0
0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,8,19,0,0,0,0,0,0,0,0,0,0,0,17,0,16,6,0,0,0,0
0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,22,0,16,0,0,6,0,0
0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,22,0,16,0,0,6,0,0
0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,22,0,16,0,0,6,0,0
0,0,40,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,12,0,0,5,0,0
0,0,40,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,12,0,0,5,0,0
0,0,40,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,8,0,0,5,0,0
0,0,40,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,8,0,0,5,0,0
0,0,38,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,10,0,0,5,0,0
0,0,49,0,0,0,0,0,0,0,0,0,10,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,16,0,12,0,0,7,0,0
0,0,49,0,0,0,0,0,0,0,0,0,10,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,16,0,12,0,0,7,0,0
0,0,14,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,16,0,12,0,0,6,0,0
0,0,14,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,16,0,12,0,0,6,0,0
0,0,14,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,16,0,12,0,0,6,0,0
0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,14,0,15,4,0,0,0,0
0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,20,0,0,0,0,0,0,0,0,0,0,0,14,0,15,4,0,0,0,0
0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,13,0,0,0,0,0,0,0,0,0,0,0,8,0,16,4,0,0,0,0
0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,13,0,0,0,0,0,0,0,0,0,0,0,15,0,16,4,0,0,0,0
0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,13,0,0,0,0,0,0,0,0,0,0,0,15,0,16,4,0,0,0,0
0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,13,0,0,0,0,0,0,0,0,0,0,0,15,0,16,4,0,0,0,0
0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,16,4,0,0,0,0
